순번,영어파일명,원본제품명,바코드번호,원본파일명
1,product_001.png,말보루 화이트,88024615,말보루_화이트_88024615.png
2,product_002.png,말보루 비스타블라썸,88023489,말보루_비스타블라썸_88023489.png
3,product_003.png,말보루 실버,88012407,말보루_실버_88012407.png
4,product_004.png,말보루 골드,88011745,말보루_골드_88011745.png
5,product_005.png,말보루 미디엄,88011721,말보루_미디엄_88011721.png
6,product_006.png,말보루 레드,88011707,말보루_레드_88011707.png
7,product_007.png,말보루 포레스트미스트,88023441,말보루_포레스트미스트_88023441.png
8,product_008.png,말보루 가든 스플래시,88024608,말보루_가든_스플래시_88024608.png
9,product_009.png,말보루 비스타 썸머,88023465,말보루_비스타_썸머_88023465.png
10,product_010.png,말보루 비스타,88023403,말보루_비스타_88023403.png
11,product_011.png,말보루 하이브리드 1,88017648,말보루_하이브리드_1_88017648.png
12,product_012.png,말보루 하이브리드 5,88017655,말보루_하이브리드_5_88017655.png
13,product_013.png,말보루 아이스블라스트,88017174,말보루_아이스블라스트_88017174.png
14,product_014.png,말보루 아이스블라스트 1,88017617,말보루_아이스블라스트_1_88017617.png
15,product_015.png,말보루 화이트후레시,88011752,말보루_화이트후레시_88011752.png
16,product_016.png,말보루 블랙 후래시,88014494,말보루_블랙_후래시_88014494.png
17,product_017.png,말보루 비스타 트로피컬,88023434,말보루_비스타_트로피컬_88023434.png
18,product_018.png,팔리아멘트 아쿠아 1,88013114,팔리아멘트_아쿠아_1_88013114.png
19,product_019.png,팔리아멘트 아쿠아 3,88014463,팔리아멘트_아쿠아_3_88014463.png
20,product_020.png,팔리아멘트 아쿠아 5,88013121,팔리아멘트_아쿠아_5_88013121.png
21,product_021.png,팔리아멘트 하이브리드 1,88017693,팔리아멘트_하이브리드_1_88017693.png
22,product_022.png,팔리아멘트 하이브리드 5,88017624,팔리아멘트_하이브리드_5_88017624.png
23,product_023.png,팔리아멘트 수퍼슬림 레드,88019918,팔리아멘트_수퍼슬림_레드_88019918.png
24,product_024.png,버지니아 블루,88011882,버지니아_블루_88011882.png
25,product_025.png,버지니아 골드,88011851,버지니아_골드_88011851.png
26,product_026.png,하모니,88011844,하모니_88011844.png
27,product_027.png,테리아 블랙루비,88024189,테리아_블랙루비_88024189.png
28,product_028.png,테리아 블랙옐로우,88023595,테리아_블랙옐로우_88023595.png
29,product_029.png,테리아 블랙퍼플,88023526,테리아_블랙퍼플_88023526.png
30,product_030.png,테리아 퍼플웨이브,88021492,테리아_퍼플웨이브_88021492.png
31,product_031.png,테리아 썸머웨이브,88023564,테리아_썸머웨이브_88023564.png
32,product_032.png,테리아 유젠,88023090,테리아_유젠_88023090.png
33,product_033.png,테리아 썬펄,88024141,테리아_썬펄_88024141.png
34,product_034.png,테리아 오아시스 펄,88024134,테리아_오아시스_펄_88024134.png
35,product_035.png,테리아 트와일라잇 펄,88024752,테리아_트와일라잇_펄_88024752.png
36,product_036.png,센티아 실버,88024721,센티아_실버_88024721.png
37,product_037.png,센티아 그린,88024745,센티아_그린_88024745.png
38,product_038.png,센티아 골드,88024714,센티아_골드_88024714.png
39,product_039.png,센티아 퍼플,88024738,센티아_퍼플_88024738.png
40,product_040.png,테리아 블랙그린,88023502,테리아_블랙그린_88023502.png
41,product_041.png,테리아 블루,88023014,테리아_블루_88023014.png
42,product_042.png,테리아 그린징,88023038,테리아_그린징_88023038.png
43,product_043.png,테리아 그린,88023021,테리아_그린_88023021.png
44,product_044.png,테리아 앰버,88023045,테리아_앰버_88023045.png
45,product_045.png,테리아 실버,88023052,테리아_실버_88023052.png
46,product_046.png,테리아 러셋,88024165,테리아_러셋_88024165.png
47,product_047.png,테리아 티크,88024158,테리아_티크_88024158.png
48,product_048.png,테리아 아버 펄,88023540,테리아_아버_펄_88023540.png
49,product_049.png,테리아 스탈링펄,88024196,테리아_스탈링펄_88024196.png
50,product_050.png,믹스 브린,8801116048250,믹스_브린_8801116048250.png
